SZG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;N.Cilindro;Propriedade;Cod. Proprie;Loja Proprie;Nome Proprie;Capacidade;Dt.Fabric;Dt.Validade;Cod. Barras;Cil. Cond.;Dt.Cond.Cil.;Peso Cilindr;Org Inspetor;Bloqueado?;Fabricante;Filial Propr;Revisado?;N.Pinado Cil;N.Usado Cli.;Cod.Produto;Desc.Produto;Cod.Prod.BP3;Desc.Prod.P3;Status;Tp Embalagem;Cod.Memo 1;Dt.Inc.Cad.
1;20;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/04/2016;01/04/2021;020C005001042016;Nao;  /  /  ;59,2;SBI;Não;MAT SA ;;Sim;20;20;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;2166;Cliente;1793;1;SERVICO AUTONOMO DE AGUA E ESGOTO  IGUATU;68;01/02/2013;30/03/2024;02166C0068010213;Nao;  /  /  ;93,8;SBI;Não;MAT SA ;;Sim;2166;2166;MT0000025;CILINDRO CAPACIDADE 68 KGS;;;Em Uso      ;Cilindro;683322;  /  /  
1;24;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/03/2018;01/03/2023;024B006801032018;Nao;  /  /  ;67,6;SBI;Não;CILBRAS;;;24;24;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;25;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/12/2015;01/12/2020;025C0050011215;Nao;  /  /  ;59;SBI;Não;MAT SA ;;Sim;25;25;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;26;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/10/2016;01/10/2021;026C005001102016;Nao;  /  /  ;60;SBI;Não;MAT SA ;;Sim;26;29;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;29;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/01/2017;01/01/2022;029C0050010117;Nao;  /  /  ;62;SBI;Não;MAT SA ;;Sim;29;29;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;29;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S/A;68;12/04/2019;12/04/2024;029B0068120419;Nao;  /  /  ;74,3;SBI;Não;MAT SA ;;Sim;29;29;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;12/04/2019
1;30;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/05/2017;01/05/2022;030C005001052017;Nao;  /  /  ;60;SBI;Não;MAT SA ;;Sim;30;30;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3059;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/02/2018;01/02/2023;03059C0050010218;Nao;  /  /  ;53,4;SBI;Não;MAT SA ;;Sim;H03059;H03059;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;3094;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/02/2018;01/02/2023;03094C005001022018;Nao;  /  /  ;53,4;SBI;Não;MAT SA ;;Sim;H03094;H03094;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
